白萝卜,2,36000,0,125,17,272,15,1 
胡萝卜,3,46800,0,163,21,357,18,1 
玉米,4,50400,3,175,23,391,19,1 
土豆,5,54000,4,188,24,432,20,1 
茄子,6,57600,5,237,25,500,21,1 
番茄,7,61200,6,251,26,546,22,1 
豌豆,8,64800,7,266,27,594,23,1 
辣椒,9,72000,8,296,28,672,25,1 
南瓜,10,79200,9,325,30,750,27,1 
苹果,11,75600,10,578,24,1104,36,1 
草莓,1,86400,10,605,27,1296,40,1 
西瓜,14,100800,11,708,29,1566,46,1 
香蕉,15,111600,12,900,32,1856,50,1 
桃子,18,151200,13,1200,40,2560,66,1 
橙子,19,133200,14,1587,41,3198,75,1 
葡萄,13,165600,15,1978,47,4089,90,1 
石榴,23,187200,16,2425,54,4860,102,1 
柚子,26,219600,17,2855,58,5742,117,1 
菠萝,27,230400,18,3480,62,6510,120,1 
椰子,29,198000,19,3720,65,7020,128,1 
葫芦,31,219600,20,4742,71,8520,144,1 
火龙果,33,252000,21,5356,77,9856,164,1 
樱桃,34,259200,22,5527,78,10296,168,1 
荔枝,35,277200,23,6588,86,11696,176,1 
牧草,40,28800,0,120,6,150,10,1 
木瓜,38,165600,24,6975,80,11200,130,1 
杨桃,39,165600,25,7576,82,11890,135,1 
红玫瑰,41,64800,7,266,27,594,23,1 
薰衣草,101,219600,17,2855,58,6960,117,0 
马蹄莲,102,230400,18,3480,62,7998,120,0 
天香百合,103,72000,8,296,28,672,25,0 
非洲菊,104,75600,10,578,24,1104,36,0 
小雏菊,105,61200,6,325,26,750,27,0 
柠檬,42,111600,26,7600,83,10790,90,1 
杨梅,48,111600,27,7700,84,10920,90,1 
爱心果,46,111600,15,0,100,7200,81,0 
猕猴桃,45,165600,20,5120,75,8100,108,1 
甘蔗,47,111600,13,1330,42,2352,50,1 
丝瓜,44,111600,15,2130,50,3600,60,1 
蘑菇,50,108000,17,3260,55,4455,48,1 
大白菜,59,50400,1,168,22,374,19,1 
水稻,60,50400,2,168,21,378,19,1 
小麦,61,50400,2,168,21,378,19,1 
红薯,21,93600,0,0,0,0,0,0 
黄瓜,24,198000,0,0,0,0,0,0 
香梨,32,234000,0,0,0,0,0,0 
奇异果,36,291600,0,0,0,0,0,0 
花生,49,151200,0,0,38,0,0,0 
红枣,51,57600,5,0,25,0,0,0 
桂圆,53,151200,0,0,38,0,0,0 
梨,54,115200,0,0,35,0,0,0 
枇杷,55,151200,21,0,77,0,0,0 
哈密瓜,56,111600,0,0,38,0,0,0 
芒果,57,111600,0,0,100,0,0,0 
榴莲,58,111600,0,0,100,0,0,0 
郁金香,106,187200,0,0,54,0,0,0 
蝴蝶兰,109,230400,0,0,62,0,0,0 
仙人掌,107,115200,0,0,32,0,0,0 
铃兰,108,115200,0,0,32,0,0,0 
大葱,64,39600,0,0,0,0,0,0 
鲜姜,66,39600,0,0,0,0,0,0 
小白菜,71,39600,0,0,0,0,0,0 
菠菜,73,61200,0,0,0,0,0,0 
黄豆,70,100800,0,0,0,0,0,0 
榛子,72,165600,0,0,0,0,0,0 
莴笋,69,100800,0,0,0,0,0,0 
苦瓜,63,252000,0,0,0,0,0,0 
冬瓜,68,259200,0,0,0,0,0,0 
香瓜,67,277200,0,0,0,0,0,0 
月柿,80,111600,0,0,0,0,0,0 
桑葚,75,277200,0,0,0,0,0,0 
杏子,78,111600,0,0,0,0,0,0 
金桔,74,111600,0,0,0,0,0,0 
番石榴,79,111600,0,0,0,0,0,0 
蓝莓,77,111600,0,0,0,0,0,0 
山竹,76,111600,0,0,0,0,0,0 
蒲公英,120,57600,0,0,0,0,0,0 
满天星,110,79200,0,0,0,0,0,0 
粉玫瑰,111,100800,0,0,0,0,0,0 
丁香花,122,111600,0,0,0,0,0,0 
风信子,112,111600,0,0,0,0,0,0 
水仙花,118,111600,0,0,0,0,0,0 
栀子花,113,133200,0,0,0,0,0,0 
蓝玫瑰,114,151200,0,0,0,0,0,0 
兰花,115,151200,0,0,0,0,0,0 
海棠花,123,277200,0,0,0,0,0,0
